"stationName","date","Rn_Avg_qc_mm","Rn_Avg_qc_count","Rn_Avg_gf_mm","Rn_Avg_gf_count","Rn_Avg_qc_mm_Dqc","Rn_Avg_gf_mm_Dqc","Rn_Avg_gf_mm_Dgf","Tc_H_qc_mm","Tc_H_gf_mm","Tc_aH_qc_mm","Tc_aH_qc_count","Tc_aH_gf_mm","Tc_aH_gf_count","Tc_aH_qc_mm_Dqc","Tc_aH_gf_mm_Dqc","Tc_aH_gf_mm_Dgf","ET_Tc_aH_qc_Dqc","ET_Tc_aH_gf_Dqc","ET_Tc_aH_qc_Dgf","ET_Tc_aH_gf_Dgf","ET_Tc_aH_gf_Dgf2","Tn_H_qc_mm","Tn_H_gf_mm","Tn_aH_qc_mm","Tn_aH_qc_count","Tn_aH_gf_mm","Tn_aH_gf_count","Tn_aH_qc_mm_Dqc","Tn_aH_gf_mm_Dqc","Tn_aH_gf_mm_Dgf","ET_Tn_aH_qc_Dqc","ET_Tn_aH_gf_Dqc","ET_Tn_aH_qc_Dgf","ET_Tn_aH_gf_Dgf","ET_Tn_aH_gf_Dgf2","SR_aH_qc_mm","SR_aH_qc_count","SR_aH_gf_mm","SR_aH_gf_count","SR_aH_qc_mm_Dqc","SR_aH_gf_mm_Dqc","ET_SR_aH_qc_Dqc","ET_SR_aH_gf_Dqc","SR_aH_gf_mm_Dgf","ET_SR_aH_qc_Dgf","ET_SR_aH_gf_Dgf","ET_SR_aH_gf_Dgf2","ETo_mm","Ka_Tc","Ka_Tn","Ka_SR","rDateTime"
"D01_Union_Corn","2016-04-19",2.72884210950258,23,2.72884210950258,23,NA,NA,NA,NA,NA,NA,22,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,4.82,NA,NA,NA,2016-04-19
"D01_Union_Corn","2016-04-20",NA,47,4.54965761121066,48,NA,4.54965761121066,4.54965761121066,NA,2.23719325355774,NA,47,2.36153148657145,48,NA,2.36153148657145,2.36153148657145,NA,2.18812612463921,2.18812612463921,2.18812612463921,2.18812612463921,NA,2.36350215282095,NA,46,2.47995170141016,48,NA,2.47995170141016,2.47995170141016,NA,2.06970590980051,2.06970590980051,2.06970590980051,2.06970590980051,NA,47,2.42073803030316,48,NA,2.42073803030316,NA,2.1289195809075,2.42073803030316,2.1289195809075,2.1289195809075,2.1289195809075,5.05,0.433292301908755,0.409842754415942,0.42156823384307,2016-04-20
"D01_Union_Corn","2016-04-21",2.6289994071384,48,2.6289994071384,48,2.6289994071384,2.6289994071384,2.6289994071384,NA,2.30240635444037,NA,47,2.06575759509893,48,NA,2.06575759509893,2.06575759509893,NA,0.563241812039471,0.563241812039471,0.563241812039471,0.563241812039471,2.49018308351876,2.49018308351876,2.2477237340652,48,2.2477237340652,48,2.2477237340652,2.2477237340652,2.2477237340652,0.3812756730732,0.3812756730732,0.3812756730732,0.3812756730732,0.3812756730732,2.15667492829595,48,2.15674066458206,48,2.15667492829595,2.15674066458206,0.472324478842455,0.472258742556336,2.15674066458206,0.472258742556336,0.472258742556336,0.472258742556336,3.63,0.155163033619689,0.105034620681322,0.130098827150506,2016-04-21
"D01_Union_Corn","2016-04-22",1.37907342334368,48,1.37907342334368,48,1.37907342334368,1.37907342334368,1.37907342334368,-0.0332173669467799,-0.0332173669467799,0.234352603651239,48,0.234352603651239,48,0.234352603651239,0.234352603651239,0.234352603651239,1.14472081969244,1.14472081969244,1.14472081969244,1.14472081969244,1.14472081969244,NA,-0.0703497826633401,NA,46,0.201499431499347,48,NA,0.201499431499347,0.201499431499347,NA,1.17757399184433,1.17757399184433,1.17757399184433,1.17757399184433,0.21847008570622,48,0.217364052169776,48,0.21847008570622,0.217364052169776,1.16060333763746,1.1617093711739,0.217364052169776,1.1617093711739,1.1617093711739,1.1617093711739,2.63,0.435255064521841,0.447746764959823,0.441714589799964,2016-04-22
"D01_Union_Corn","2016-04-23",5.61806276324958,48,5.61806276324958,48,5.61806276324958,5.61806276324958,5.61806276324958,3.74520601410455,3.74520601410455,3.50600466674478,48,3.50600466674478,48,3.50600466674478,3.50600466674478,3.50600466674478,2.1120580965048,2.1120580965048,2.1120580965048,2.1120580965048,2.1120580965048,3.95227233627906,3.95227233627906,3.680203278754,48,3.680203278754,48,3.680203278754,3.680203278754,3.680203278754,1.93785948449558,1.93785948449558,1.93785948449558,1.93785948449558,1.93785948449558,3.59310397274939,48,3.59310397274939,48,3.59310397274939,3.59310397274939,2.02495879050019,2.02495879050019,3.59310397274939,2.02495879050019,2.02495879050019,2.02495879050019,4.05,0.521495826297482,0.478483823332242,0.499989824814862,2016-04-23
"D01_Union_Corn","2016-04-24",4.1331236166216,48,4.1331236166216,48,4.1331236166216,4.1331236166216,4.1331236166216,NA,3.96440213276284,NA,47,3.49290524405314,48,NA,3.49290524405314,3.49290524405314,NA,0.640218372568461,0.640218372568461,0.640218372568461,0.640218372568461,NA,4.25435662893313,NA,47,3.73618015420195,48,NA,3.73618015420195,3.73618015420195,NA,0.39694346241965,0.39694346241965,0.39694346241965,0.39694346241965,3.64035819537525,48,3.61454232348765,48,3.64035819537525,3.61454232348765,0.492765421246351,0.518581293133949,3.61454232348765,0.518581293133949,0.518581293133949,0.518581293133949,4.32,0.14819869735381,0.0918850607452893,0.120041966003229,2016-04-24
"D01_Union_Corn","2016-04-25",5.09580998416422,48,5.09580998416422,48,5.09580998416422,5.09580998416422,5.09580998416422,6.57603385896126,6.57603385896126,5.92676344264599,48,5.92676344264599,48,5.92676344264599,5.92676344264599,5.92676344264599,-0.830953458481768,-0.830953458481768,-0.830953458481768,-0.830953458481768,-0.830953458481768,NA,6.98846504294958,NA,44,6.28431973108101,48,NA,6.28431973108101,6.28431973108101,NA,-1.18850974691679,-1.18850974691679,-1.18850974691679,-1.18850974691679,6.04980779441468,48,6.1055415868635,48,6.04980779441468,6.1055415868635,-0.953997810250458,-1.00973160269928,6.1055415868635,-1.00973160269928,-1.00973160269928,-1.00973160269928,5.35,-0.155318403454536,-0.222151354563886,-0.188734879009211,2016-04-25
"D01_Union_Corn","2016-04-26",4.5093016077804,48,4.5093016077804,48,4.5093016077804,4.5093016077804,4.5093016077804,4.60430591070677,4.60430591070677,4.26035138480157,48,4.26035138480157,48,4.26035138480157,4.26035138480157,4.26035138480157,0.248950222978832,0.248950222978832,0.248950222978832,0.248950222978832,0.248950222978832,4.80698633032552,4.80698633032552,4.44602048249347,48,4.44602048249347,48,4.44602048249347,4.44602048249347,4.44602048249347,0.0632811252869283,0.0632811252869283,0.0632811252869283,0.0632811252869283,0.0632811252869283,4.35318593364752,48,4.35318593364752,48,4.35318593364752,4.35318593364752,0.156115674132879,0.156115674132879,4.35318593364752,0.156115674132879,0.156115674132879,0.156115674132879,4.68,0.0531944920894939,0.0135216079672924,0.033358050028393,2016-04-26
"D01_Union_Corn","2016-04-27",4.16167382313,48,4.16167382313,48,4.16167382313,4.16167382313,4.16167382313,4.02420993676632,4.02420993676632,3.62900364396944,48,3.62900364396944,48,3.62900364396944,3.62900364396944,3.62900364396944,0.532670179160556,0.532670179160556,0.532670179160556,0.532670179160556,0.532670179160556,NA,3.95178750633648,NA,47,3.57526634320039,48,NA,3.57526634320039,3.57526634320039,NA,0.58640747992961,0.58640747992961,0.58640747992961,0.58640747992961,3.6033144369051,48,3.60156993865271,48,3.6033144369051,3.60156993865271,0.558359386224898,0.560103884477291,3.60156993865271,0.560103884477291,0.560103884477291,0.560103884477291,3.81,0.139808445973899,0.153912724390974,0.147008893563593,2016-04-27
"D01_Union_Corn","2016-04-28",5.3372649434634,48,5.3372649434634,48,5.3372649434634,5.3372649434634,5.3372649434634,6.34101768770488,6.34101768770488,5.66790124646857,48,5.66790124646857,48,5.66790124646857,5.66790124646857,5.66790124646857,-0.330636303005173,-0.330636303005173,-0.330636303005173,-0.330636303005173,-0.330636303005173,NA,6.73612261964594,NA,47,5.99579358811318,48,NA,5.99579358811318,5.99579358811318,NA,-0.658528644649778,-0.658528644649778,-0.658528644649778,-0.658528644649778,5.8633765739068,48,5.83184741729088,48,5.8633765739068,5.83184741729088,-0.526111630443403,-0.494582473827475,5.83184741729088,-0.494582473827475,-0.494582473827475,-0.494582473827475,5.53,-0.0597895665470476,-0.119082937549689,-0.0894362520483681,2016-04-28
