"stationName","date","ET_EC_gf","ET_EC_gf_count","ET_EC_gf_Dgf","ET_EC_gf_Dgf2","ET_EC_gf_Dqc","ET_EC_qc","ET_EC_qc_count","ET_EC_qc_Dgf","ET_EC_qc_Dqc","ET_SR_aH_gf","ET_SR_aH_gf_count","ET_SR_aH_gf_Dgf","ET_SR_aH_gf_Dgf2","ET_SR_aH_gf_Dqc","ET_SR_aH_qc","ET_SR_aH_qc_count","ET_SR_aH_qc_Dgf","ET_SR_aH_qc_Dqc","ET_Tc_aH_gf","ET_Tc_aH_gf_count","ET_Tc_aH_gf_Dgf","ET_Tc_aH_gf_Dgf2","ET_Tc_aH_gf_Dqc","ET_Tc_aH_qc","ET_Tc_aH_qc_count","ET_Tc_aH_qc_Dgf","ET_Tc_aH_qc_Dqc","ET_Tn_aH_gf","ET_Tn_aH_gf_count","ET_Tn_aH_gf_Dgf","ET_Tn_aH_gf_Dgf2","ET_Tn_aH_gf_Dqc","ET_Tn_aH_qc","ET_Tn_aH_qc_count","ET_Tn_aH_qc_Dgf","ET_Tn_aH_qc_Dqc","ETo_mm","G_gf_count","G_gf_mm","G_gf_mm_Dgf","G_gf_mm_Dqc","G_qc_count","G_qc_mm","G_qc_mm_Dqc","H_ECrot_gf_count","H_ECrot_gf_mm","H_ECrot_gf_mm_Dgf","H_ECrot_gf_mm_Dqc","H_ECrot_qc_count","H_ECrot_qc_mm","H_ECrot_qc_mm_Dqc","Ka_EC","Ka_SR","Ka_Tc","Ka_Tn","Rn_Avg_gf_count","Rn_Avg_gf_mm","Rn_Avg_gf_mm_Dgf","Rn_Avg_gf_mm_Dqc","Rn_Avg_qc_count","Rn_Avg_qc_mm","Rn_Avg_qc_mm_Dqc","SR_aH_gf_count","SR_aH_gf_mm","SR_aH_gf_mm_Dgf","SR_aH_gf_mm_Dqc","SR_aH_qc_count","SR_aH_qc_mm","SR_aH_qc_mm_Dqc","Tc_aH_gf_count","Tc_aH_gf_mm","Tc_aH_gf_mm_Dgf","Tc_aH_gf_mm_Dqc","Tc_aH_qc_count","Tc_aH_qc_mm","Tc_aH_qc_mm_Dqc","Tc_H_gf_mm","Tc_H_qc_mm","Tn_aH_gf_count","Tn_aH_gf_mm","Tn_aH_gf_mm_Dgf","Tn_aH_gf_mm_Dqc","Tn_aH_qc_count","Tn_aH_qc_mm","Tn_aH_qc_mm_Dqc","Tn_H_gf_mm","Tn_H_qc_mm"
"D12_Twitchell_Pasture","2016-06-17",NA,19,NA,NA,NA,NA,19,NA,NA,NA,19,NA,NA,NA,NA,19,NA,NA,NA,20,NA,NA,NA,NA,20,NA,NA,NA,20,NA,NA,NA,NA,20,NA,NA,5.04,19,NA,0,NA,19,NA,NA,20,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,21,2.21525504543952,NA,NA,21,2.21525504543952,NA,20,NA,NA,NA,20,NA,NA,20,NA,NA,NA,20,NA,NA,NA,NA,20,NA,NA,NA,20,NA,NA,NA,NA
"D12_Twitchell_Pasture","2016-06-18",2.4014125246425,48,2.4014125246425,2.4014125246425,2.4014125246425,2.4014125246425,48,2.4014125246425,2.4014125246425,3.32644371797711,48,3.32644371797711,3.32644371797711,3.32644371797711,3.32017726557891,48,3.32644371797711,3.32017726557891,3.39438259733147,48,3.45452855346428,3.45452855346428,3.39438259733147,3.39438259733147,48,3.45452855346428,3.39438259733147,3.19093251087411,48,3.25107846700693,3.25107846700693,3.19093251087411,NA,47,3.25107846700693,NA,6.12,48,-0.0601459561328138,-0.0601459561328138,-0.0601459561328138,48,-0.0601459561328138,-0.0601459561328138,48,3.14128336689478,3.14128336689478,3.14128336689478,48,3.14128336689478,3.14128336689478,0.392387667425244,0.543536555225018,0.564465449912465,0.531221971733158,48,5.48254993540446,5.48254993540446,5.48254993540446,48,5.48254993540446,5.48254993540446,48,2.21625217356016,2.21625217356016,2.21625217356016,48,2.22251862595836,2.22251862595836,48,2.08816733807299,2.08816733807299,2.08816733807299,48,2.08816733807299,2.08816733807299,3.21938546776826,3.21938546776826,48,2.29161742453035,2.29161742453035,2.29161742453035,47,NA,NA,3.08938749848158,NA
"D12_Twitchell_Pasture","2016-06-19",2.45270974442415,48,2.45270974442415,2.45270974442415,2.45270974442415,2.45270974442415,48,2.45270974442415,2.45270974442415,3.80631559119032,48,3.80631559119032,3.80631559119032,3.80631559119032,3.80572520397889,48,3.80631559119032,3.80572520397889,4.08153327640546,48,3.87012974823208,3.87012974823208,4.08153327640546,4.08153327640546,48,3.87012974823208,4.08153327640546,3.99036207899481,48,3.77895855082143,3.77895855082143,3.99036207899481,NA,47,3.77895855082143,NA,6.82,48,0.21140352817338,0.21140352817338,0.21140352817338,48,0.21140352817338,0.21140352817338,48,2.69752881579507,2.69752881579507,2.69752881579507,48,2.69752881579507,2.69752881579507,0.359634859886239,0.558110790497114,0.567467705019366,0.554099494255341,48,5.3616420883926,5.3616420883926,5.3616420883926,48,5.3616420883926,5.3616420883926,48,1.3439229690289,1.3439229690289,1.3439229690289,48,1.34451335624034,1.34451335624034,48,1.28010881198714,1.28010881198714,1.28010881198714,48,1.28010881198714,1.28010881198714,1.8963777629409,1.8963777629409,48,1.37128000939779,1.37128000939779,1.37128000939779,47,NA,NA,1.71043690488524,NA
"D12_Twitchell_Pasture","2016-06-20",3.04465738638704,48,3.04465738638704,3.04465738638704,3.04465738638704,3.04465738638704,48,3.04465738638704,3.04465738638704,3.20004736189511,48,3.20004736189511,3.20004736189511,3.20004736189511,3.20004736189511,48,3.20004736189511,3.20004736189511,3.49577257721898,48,3.31836350418002,3.31836350418002,3.49577257721898,3.49577257721898,48,3.31836350418002,3.49577257721898,3.29661673738946,48,3.11920766435051,3.11920766435051,3.29661673738946,3.29661673738946,48,3.11920766435051,3.29661673738946,7.24,48,0.177409073038954,0.177409073038954,0.177409073038954,48,0.177409073038954,0.177409073038954,48,1.80588204958225,1.80588204958225,1.80588204958225,48,1.80588204958225,1.80588204958225,0.420532788175005,0.441995491974462,0.458337500577351,0.430829787893717,48,5.02794850900824,5.02794850900824,5.02794850900824,48,5.02794850900824,5.02794850900824,48,1.65049207407418,1.65049207407418,1.65049207407418,48,1.65049207407418,1.65049207407418,48,1.53217593178926,1.53217593178926,1.53217593178926,48,1.53217593178926,1.53217593178926,2.18509136916886,2.18509136916886,48,1.73133177161878,1.73133177161878,1.73133177161878,48,1.73133177161878,1.73133177161878,1.99097984062445,1.99097984062445
"D12_Twitchell_Pasture","2016-06-21",2.99232394561935,48,2.99232394561935,2.99232394561935,2.99232394561935,2.99232394561935,48,2.99232394561935,2.99232394561935,3.74937001042892,48,3.74937001042892,3.74937001042892,3.74937001042892,3.75244129917469,48,3.74937001042892,3.75244129917469,4.2966183342406,48,3.97266148547978,3.97266148547978,4.2966183342406,4.2966183342406,48,3.97266148547978,4.2966183342406,3.86464401740935,48,3.54068716864854,3.54068716864854,3.86464401740935,NA,47,3.54068716864854,NA,7.6,48,0.323956848760819,0.323956848760819,0.323956848760819,48,0.323956848760819,0.323956848760819,48,1.61510909417569,1.61510909417569,1.61510909417569,48,1.61510909417569,1.61510909417569,0.393726834949915,0.493338159266963,0.522718616510497,0.465879890611649,48,4.93138988855586,4.93138988855586,4.93138988855586,48,4.93138988855586,4.93138988855586,48,0.858063029366123,0.858063029366123,0.858063029366123,48,0.854991740620348,0.854991740620348,48,0.63477155431526,0.63477155431526,0.63477155431526,48,0.63477155431526,0.63477155431526,0.71836245347031,0.71836245347031,48,1.06674587114651,1.06674587114651,1.06674587114651,47,NA,NA,1.04492131269263,NA
"D12_Twitchell_Pasture","2016-06-22",2.76416521576055,48,2.76416521576055,2.76416521576055,2.76416521576055,2.76416521576055,48,2.76416521576055,2.76416521576055,2.25894756813145,48,2.25894756813145,2.25894756813145,2.25894756813145,NA,47,2.25894756813145,NA,2.54679370239762,48,2.45492191499668,2.45492191499668,2.54679370239762,NA,47,2.45492191499668,NA,2.21485210340718,48,2.12298031600624,2.12298031600624,2.21485210340718,NA,47,2.12298031600624,NA,7.52,48,0.0918717874009382,0.0918717874009382,0.0918717874009382,48,0.0918717874009382,0.0918717874009382,48,2.12802235925903,2.12802235925903,2.12802235925903,48,2.12802235925903,2.12802235925903,0.367575161670286,0.300391963847268,0.326452382313389,0.282311212234873,48,4.98405936242052,4.98405936242052,4.98405936242052,48,4.98405936242052,4.98405936242052,48,2.63324000688813,2.63324000688813,2.63324000688813,47,NA,NA,48,2.4372656600229,2.4372656600229,2.4372656600229,47,NA,NA,3.63727367526716,NA,48,2.76920725901334,2.76920725901334,2.76920725901334,47,NA,NA,3.51739378309127,NA
"D12_Twitchell_Pasture","2016-06-23",2.85380051154543,48,2.85380051154543,2.85380051154543,2.85380051154543,2.85380051154543,48,2.85380051154543,2.85380051154543,1.67726454436014,48,1.67726454436014,1.67726454436014,1.67726454436014,1.67734804760835,48,1.67726454436014,1.67734804760835,1.97596555256503,48,1.87282513400217,1.87282513400217,1.97596555256503,NA,47,1.87282513400217,NA,1.6593120427967,48,1.55617162423384,1.55617162423384,1.6593120427967,1.6593120427967,48,1.55617162423384,1.6593120427967,7.52,48,0.103140418562853,0.103140418562853,0.103140418562853,48,0.103140418562853,0.103140418562853,48,2.0638781089062,2.0638781089062,2.0638781089062,48,2.0638781089062,2.0638781089062,0.379494748875722,0.223040497920231,0.249045895479013,0.206937715988543,48,5.02081903901448,5.02081903901448,5.02081903901448,48,5.02081903901448,5.02081903901448,48,3.24041407609149,3.24041407609149,3.24041407609149,48,3.24033057284328,3.24033057284328,48,3.04485348644945,3.04485348644945,3.04485348644945,47,NA,NA,4.66305223197703,NA,48,3.36150699621778,3.36150699621778,3.36150699621778,48,3.36150699621778,3.36150699621778,4.46014477215388,4.46014477215388
"D12_Twitchell_Pasture","2016-06-24",2.90460928845912,48,2.90460928845912,2.90460928845912,2.90460928845912,2.90460928845912,48,2.90460928845912,2.90460928845912,3.08486272174473,48,3.08486272174473,3.08486272174473,3.08486272174473,3.08419722361048,48,3.08486272174473,3.08419722361048,3.56324308955537,48,3.22106251026594,3.22106251026594,3.56324308955537,NA,47,3.22106251026594,NA,3.32496207949071,48,2.98278150020128,2.98278150020128,3.32496207949071,3.32496207949071,48,2.98278150020128,3.32496207949071,6.85,48,0.342180579289429,0.342180579289429,0.342180579289429,48,0.342180579289429,0.342180579289429,48,1.67552140779074,1.67552140779074,1.67552140779074,48,1.67552140779074,1.67552140779074,0.424030553059725,0.450344922882442,0.470228103688459,0.43544255477391,48,4.92231127553928,4.92231127553928,4.92231127553928,48,4.92231127553928,4.92231127553928,48,1.49526797450512,1.49526797450512,1.49526797450512,48,1.49593347263937,1.49593347263937,48,1.35906818598391,1.35906818598391,1.35906818598391,47,NA,NA,1.9401625487551,NA,48,1.59734919604857,1.59734919604857,1.59734919604857,48,1.59734919604857,1.59734919604857,1.8814469256266,1.8814469256266
"D12_Twitchell_Pasture","2016-06-25",3.46718347818812,48,3.46718347818812,3.46718347818812,3.46718347818812,3.46718347818812,48,3.46718347818812,3.46718347818812,4.05661630534714,48,4.05661630534714,4.05661630534714,4.05661630534714,4.05750876703538,48,4.05661630534714,4.05750876703538,4.54176639746939,48,4.1472421353634,4.1472421353634,4.54176639746939,4.54176639746939,48,4.1472421353634,4.54176639746939,4.36919172517963,48,3.97466746307364,3.97466746307364,4.36919172517963,NA,47,3.97466746307364,NA,7.64,48,0.394524262105988,0.394524262105988,0.394524262105988,48,0.394524262105988,0.394524262105988,48,0.96119136352983,0.96119136352983,0.96119136352983,48,0.96119136352983,0.96119136352983,0.453819826987974,0.530970720595176,0.542832740230811,0.520244432339482,48,4.82289910382394,4.82289910382394,4.82289910382394,48,4.82289910382394,4.82289910382394,48,0.371758536370811,0.371758536370811,0.371758536370811,48,0.370866074682569,0.370866074682569,48,0.281132706354554,0.281132706354554,0.281132706354554,48,0.281132706354554,0.281132706354554,0.158157044992354,0.158157044992354,48,0.453707378644308,0.453707378644308,0.453707378644308,47,NA,NA,0.126713030743123,NA
"D12_Twitchell_Pasture","2016-06-26",3.74586636105422,48,3.74586636105422,3.74586636105422,3.74586636105422,3.74586636105422,48,3.74586636105422,3.74586636105422,3.53754600199133,48,3.53754600199133,3.53754600199133,3.53754600199133,3.53754600199133,48,3.53754600199133,3.53754600199133,4.03259904869456,48,3.60705780599294,3.60705780599294,4.03259904869456,4.03259904869456,48,3.60705780599294,4.03259904869456,3.92175096180159,48,3.49620971909998,3.49620971909998,3.92175096180159,3.92175096180159,48,3.49620971909998,3.92175096180159,7.52,48,0.425541242701615,0.425541242701615,0.425541242701615,48,0.425541242701615,0.425541242701615,48,0.799226696299063,0.799226696299063,0.799226696299063,48,0.799226696299063,0.799226696299063,0.498120526735934,0.470418351328635,0.479661942286296,0.464921505199465,48,4.9706343000549,4.9706343000549,4.9706343000549,48,4.9706343000549,4.9706343000549,48,1.00754705536195,1.00754705536195,1.00754705536195,48,1.00754705536195,1.00754705536195,48,0.938035251360343,0.938035251360343,0.938035251360343,48,0.938035251360343,0.938035251360343,1.25354607126525,1.25354607126525,48,1.04888333825331,1.04888333825331,1.04888333825331,48,1.04888333825331,1.04888333825331,1.06855619944469,1.06855619944469
