"","Method","DSA","LEGAL"
"1","disalexi",1303840.10285362,1367682.34422727
"2","itrc",1525310.43865131,1608561.49957902
"3","sims",1209559.31651883,NA
"4","ucdmetric",1646555.72484865,1721137.40397551
"5","ucdpt",1307811.24170291,1376719.97083684
