"","Method","DSA","LEGAL"
"1","disalexi",1224072.4665566,1283965.31142741
"2","itrc",1320577.18431826,1394873.27467783
"3","sims",1173545.67485605,NA
"4","ucdmetric",1593688.89799829,1664379.03084755
"5","ucdpt",1178330.75600401,1240644.10161151
