"month","count","level_2","mean","median","p25","p75","p9","p91","stdDev","model","region","wateryear","source","cropname","include","num_days","crop_acft"
"APR",7207,0,31.7828500069377,31,26,38,20,44,8.65232083244419,"ucdpt","legal",2016,"data/dsa_legal/ucdpt-legal-2016.geojson",NA,"no",30,501.392356354594
"APR",316983,1,39.213427849443,40,36,43,31,46,5.66450218261076,"ucdpt","legal",2016,"data/dsa_legal/ucdpt-legal-2016.geojson","Alfalfa","yes",30,27208.2824755371
"APR",63028,12,24.4768356920734,23,18,29,16,36,7.6360138112538,"ucdpt","legal",2016,"data/dsa_legal/ucdpt-legal-2016.geojson","Safflower","yes",30,3376.90736600395
"APR",0,14,NA,NA,NA,NA,NA,NA,NA,"ucdpt","legal",2016,"data/dsa_legal/ucdpt-legal-2016.geojson","Sudan Grass","no",30,NA
"APR",2594,22,22.0512721665382,20,17,23,16,35,6.8729572083015,"ucdpt","legal",2016,"data/dsa_legal/ucdpt-legal-2016.geojson","Sunflower","yes",30,125.208545291122
"APR",329211,23,14.5967844330839,12,8,18,7,29,8.91520038448812,"ucdpt","legal",2016,"data/dsa_legal/ucdpt-legal-2016.geojson","Corn","yes",30,10518.6954446593
"APR",30229,24,24.9673823149955,23,20,30,18,34,6.14974580084561,"ucdpt","legal",2016,"data/dsa_legal/ucdpt-legal-2016.geojson","Rice","yes",30,1652.06503845171
"APR",5657,108,37.0705320841435,38,34,41,30,43,5.09452557757856,"ucdpt","legal",2016,"data/dsa_legal/ucdpt-legal-2016.geojson","Bush Berries","yes",30,459.034520653671
"APR",173301,109,28.9111257292226,29,25,33,21,36,5.74074342219771,"ucdpt","legal",2016,"data/dsa_legal/ucdpt-legal-2016.geojson","Vineyards","yes",30,10967.2165714381
"APR",1396,201,17.6776504297994,17,16,19,14,22,2.98599197272561,"ucdpt","legal",2016,"data/dsa_legal/ucdpt-legal-2016.geojson","Asparagus","yes",30,54.0182248683469
"APR",814,211,24.1093366093366,27,18,29,17,30,5.63697745190878,"ucdpt","legal",2016,"data/dsa_legal/ucdpt-legal-2016.geojson","Carrots","yes",30,42.9576004149975
"APR",17608,246,22.4284416174466,19,16,24,15,39,8.8955070249873,"ucdpt","legal",2016,"data/dsa_legal/ucdpt-legal-2016.geojson","Potatoes","yes",30,864.449200300169
"APR",13905,277,20.6233728874506,18,16,23,15,30,6.82104219303609,"ucdpt","legal",2016,"data/dsa_legal/ucdpt-legal-2016.geojson","Cucurbit","yes",30,627.712874181299
"APR",112765,278,18.2462111470758,17,15,20,14,25,4.8926399539599,"ucdpt","legal",2016,"data/dsa_legal/ucdpt-legal-2016.geojson","Tomatoes","yes",30,4503.78208470173
"APR",12569,279,23.0793221417774,21,17,28,14,37,8.27260458500407,"ucdpt","legal",2016,"data/dsa_legal/ucdpt-legal-2016.geojson","Truck Crops","yes",30,634.971340574988
"APR",16,284,39.5,41.5,36.5,44,31,46,5.9791303715507,"ucdpt","legal",2016,"data/dsa_legal/ucdpt-legal-2016.geojson","Eucalyptus","no",30,1.38339890253648
