"stationName","date","Rn_Avg_qc_mm","Rn_Avg_qc_count","Rn_Avg_gf_mm","Rn_Avg_gf_count","Rn_Avg_qc_mm_Dqc","Rn_Avg_gf_mm_Dqc","Rn_Avg_gf_mm_Dgf","Tc_H_qc_mm","Tc_H_gf_mm","Tc_aH_qc_mm","Tc_aH_qc_count","Tc_aH_gf_mm","Tc_aH_gf_count","Tc_aH_qc_mm_Dqc","Tc_aH_gf_mm_Dqc","Tc_aH_gf_mm_Dgf","ET_Tc_aH_qc_Dqc","ET_Tc_aH_gf_Dqc","ET_Tc_aH_qc_Dgf","ET_Tc_aH_gf_Dgf","ET_Tc_aH_gf_Dgf2","Tn_H_qc_mm","Tn_H_gf_mm","Tn_aH_qc_mm","Tn_aH_qc_count","Tn_aH_gf_mm","Tn_aH_gf_count","Tn_aH_qc_mm_Dqc","Tn_aH_gf_mm_Dqc","Tn_aH_gf_mm_Dgf","ET_Tn_aH_qc_Dqc","ET_Tn_aH_gf_Dqc","ET_Tn_aH_qc_Dgf","ET_Tn_aH_gf_Dgf","ET_Tn_aH_gf_Dgf2","SR_aH_qc_mm","SR_aH_qc_count","SR_aH_gf_mm","SR_aH_gf_count","SR_aH_qc_mm_Dqc","SR_aH_gf_mm_Dqc","ET_SR_aH_qc_Dqc","ET_SR_aH_gf_Dqc","SR_aH_gf_mm_Dgf","ET_SR_aH_qc_Dgf","ET_SR_aH_gf_Dgf","ET_SR_aH_gf_Dgf2","ETo_mm","Ka_Tc","Ka_Tn","Ka_SR"
"D09_Bacon_Corn","2016-07-15",4.7362301984979,25,4.7362301984979,25,NA,NA,NA,NA,NA,NA,24,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,7.07,NA,NA,NA
"D09_Bacon_Corn","2016-07-16",6.47609638720284,48,6.47609638720284,48,6.47609638720284,6.47609638720284,6.47609638720284,NA,0.540803237686664,NA,47,1.19625338911946,48,NA,1.19625338911946,1.19625338911946,NA,5.27984299808338,5.27984299808338,5.27984299808338,5.27984299808338,0.455507743259479,0.455507743259479,1.15173171580672,48,1.15173171580672,48,1.15173171580672,1.15173171580672,1.15173171580672,5.32436467139612,5.32436467139612,5.32436467139612,5.32436467139612,5.32436467139612,1.15870140319295,48,1.17399255246309,48,1.15870140319295,1.17399255246309,5.31739498400989,5.30210383473975,1.17399255246309,5.30210383473975,5.30210383473975,5.30210383473975,6.76,0.781041863621801,0.787627909969841,0.784334886795821
"D09_Bacon_Corn","2016-07-17",6.31135082217906,48,6.31135082217906,48,6.31135082217906,6.31135082217906,6.31135082217906,NA,0.2272107966525,NA,47,0.930530417524453,48,NA,0.930530417524453,0.930530417524453,NA,5.38082040465461,5.38082040465461,5.38082040465461,5.38082040465461,0.0446966634680301,0.0446966634680301,0.818016311643643,48,0.818016311643643,48,0.818016311643643,0.818016311643643,0.818016311643643,5.49333451053542,5.49333451053542,5.49333451053542,5.49333451053542,5.49333451053542,0.861515542625625,48,0.872471746355443,48,0.861515542625625,0.872471746355443,5.44983527955343,5.43887907582362,0.872471746355443,5.43887907582362,5.43887907582362,5.43887907582362,6.51,0.82654691315739,0.843830185950141,0.83546529582544
"D09_Bacon_Corn","2016-07-18",6.1832062398582,48,6.1832062398582,48,6.1832062398582,6.1832062398582,6.1832062398582,0.807419364744974,0.807419364744974,1.22767732606333,48,1.22767732606333,48,1.22767732606333,1.22767732606333,1.22767732606333,4.95552891379487,4.95552891379487,4.95552891379487,4.95552891379487,4.95552891379487,NA,NA,NA,16,NA,16,NA,NA,0.468447888228842,NA,NA,NA,5.71475835162936,5.71475835162936,1.23158019137592,48,1.23158019137592,48,1.23158019137592,1.23158019137592,4.95162604848228,4.95162604848228,1.23158019137592,4.95162604848228,4.95162604848228,4.95162604848228,6.17,0.803165139999169,NA,0.802532584843158
"D09_Bacon_Corn","2016-07-19",6.27859596225204,48,6.27859596225204,48,6.27859596225204,6.27859596225204,6.27859596225204,NA,-0.56618742587652,NA,46,0.4715190108786,48,NA,0.4715190108786,0.4715190108786,NA,5.80707695137344,5.80707695137344,5.80707695137344,5.80707695137344,NA,NA,NA,0,NA,0,NA,NA,0.118879464814041,NA,NA,NA,6.159716497438,6.159716497438,NA,46,0.4715190108786,48,NA,0.4715190108786,NA,5.80707695137344,0.4715190108786,5.80707695137344,5.80707695137344,5.80707695137344,6.45,0.900322007964874,NA,0.900322007964874
"D09_Bacon_Corn","2016-07-20",6.35388886661112,48,6.35388886661112,48,6.35388886661112,6.35388886661112,6.35388886661112,-2.06287195798297,-2.06287195798297,-0.0767074372869207,48,-0.0767074372869207,48,-0.0767074372869207,-0.0767074372869207,-0.0767074372869207,6.43059630389804,6.43059630389804,6.43059630389804,6.43059630389804,6.43059630389804,NA,NA,NA,0,NA,0,NA,NA,-0.23068895860076,NA,NA,NA,6.58457782521188,6.58457782521188,-0.0767074372869207,48,-0.0767074372869207,48,-0.0767074372869207,-0.0767074372869207,6.43059630389804,6.43059630389804,-0.0767074372869207,6.43059630389804,6.43059630389804,6.43059630389804,6.9,0.931970478825803,NA,0.931970478825803
"D09_Bacon_Corn","2016-07-21",6.1635458300238,48,6.1635458300238,48,6.1635458300238,6.1635458300238,6.1635458300238,-1.4430706639192,-1.4430706639192,-0.0432825659503605,48,-0.0432825659503605,48,-0.0432825659503605,-0.0432825659503605,-0.0432825659503605,6.20682839597416,6.20682839597416,6.20682839597416,6.20682839597416,6.20682839597416,NA,NA,NA,0,NA,0,NA,NA,-0.580257382015561,NA,NA,NA,6.74380321203936,6.74380321203936,-0.0432825659503605,48,-0.0432825659503605,48,-0.0432825659503605,-0.0432825659503605,6.20682839597416,6.20682839597416,-0.0432825659503605,6.20682839597416,6.20682839597416,6.20682839597416,7.07,0.877910664211338,NA,0.877910664211338
"D09_Bacon_Corn","2016-07-22",6.31486412860014,48,6.31486412860014,48,6.31486412860014,6.31486412860014,6.31486412860014,NA,-1.47783677090723,NA,46,0.131458867669701,48,NA,0.131458867669701,0.131458867669701,NA,6.18340526093044,6.18340526093044,6.18340526093044,6.18340526093044,NA,NA,NA,33,NA,36,NA,NA,-0.929825805430362,NA,NA,NA,7.2446899340305,7.2446899340305,NA,47,-0.0635794660044405,48,NA,-0.0635794660044405,NA,6.37844359460458,-0.0635794660044405,6.37844359460458,6.37844359460458,6.37844359460458,6.95,0.889698598695027,NA,0.917761668288429
"D09_Bacon_Corn","2016-07-23",6.5889372947535,48,6.5889372947535,48,6.5889372947535,6.5889372947535,6.5889372947535,NA,-3.76242459700125,NA,47,-0.952931895814616,48,NA,-0.952931895814616,-0.952931895814616,NA,7.54186919056812,7.54186919056812,7.54186919056812,7.54186919056812,-4.54712783620166,-4.54712783620166,-1.27939422884516,48,-1.27939422884516,48,-1.27939422884516,-1.27939422884516,-1.27939422884516,7.86833152359866,7.86833152359866,7.86833152359866,7.86833152359866,7.86833152359866,-1.11932317577206,48,-1.11898677919719,48,-1.11932317577206,-1.11898677919719,7.70826047052556,7.70792407395069,-1.11898677919719,7.70792407395069,7.70792407395069,7.70792407395069,7.56,0.997601744784142,1.04078459306861,1.0195666764485
"D09_Bacon_Corn","2016-07-24",6.8329732338639,48,6.8329732338639,48,6.8329732338639,6.8329732338639,6.8329732338639,NA,-2.04174261498918,NA,47,-0.435404187167498,48,NA,-0.435404187167498,-0.435404187167498,NA,7.2683774210314,7.2683774210314,7.2683774210314,7.2683774210314,-2.248954140516,-2.248954140516,-0.573348173783137,48,-0.573348173783137,48,-0.573348173783137,-0.573348173783137,-0.573348173783137,7.40632140764704,7.40632140764704,7.40632140764704,7.40632140764704,7.40632140764704,-0.505165984532832,48,-0.507028598277316,48,-0.505165984532832,-0.507028598277316,7.33813921839673,7.34000183214122,-0.507028598277316,7.34000183214122,7.34000183214122,7.34000183214122,7.26,1.00115391474262,1.02015446386323,1.01101953610761
