system:index,Station_ID,date,imageId,mean,model,region,variable,.geo
2015-10-03_3,D11,2015-10-03T00:00:00,2015-10-03,1.4034437663469923,sims,3x3,et,
2015-10-03_1,D02,2015-10-03T00:00:00,2015-10-03,4.183187772925764,sims,3x3,et,
2015-10-04_4,D12,2015-10-04T00:00:00,2015-10-04,2.678181818181818,sims,3x3,et,
2015-10-04_5,D14,2015-10-04T00:00:00,2015-10-04,3.441586748038361,sims,3x3,et,
2015-10-04_8,D04,2015-10-04T00:00:00,2015-10-04,2.702745098039216,sims,3x3,et,
2015-10-04_9,D06,2015-10-04T00:00:00,2015-10-04,2.2904533565823884,sims,3x3,et,
2015-10-04_11,D10,2015-10-04T00:00:00,2015-10-04,2.184249563699826,sims,3x3,et,
2015-10-04_10,D09,2015-10-04T00:00:00,2015-10-04,1.1455497382198954,sims,3x3,et,
2015-10-04_12,D13,2015-10-04T00:00:00,2015-10-04,2.985981715280801,sims,3x3,et,
2015-10-04_13,D01,2015-10-04T00:00:00,2015-10-04,0.9003485838779957,sims,3x3,et,
2015-10-04_14,D05,2015-10-04T00:00:00,2015-10-04,2.681853957149104,sims,3x3,et,
2015-10-04_6,D07,2015-10-04T00:00:00,2015-10-04,2.274062772449869,sims,3x3,et,
2015-10-04_7,D08,2015-10-04T00:00:00,2015-10-04,1.421697684975034,sims,3x3,et,
2015-10-04_2,D03,2015-10-04T00:00:00,2015-10-04,2.9837108013937277,sims,3x3,et,
2015-10-04_3,D11,2015-10-04T00:00:00,2015-10-04,1.118003487358326,sims,3x3,et,
2015-10-04_1,D02,2015-10-04T00:00:00,2015-10-04,3.325371179039301,sims,3x3,et,
2015-10-05_4,D12,2015-10-05T00:00:00,2015-10-05,2.5013181818181818,sims,3x3,et,
2015-10-05_5,D14,2015-10-05T00:00:00,2015-10-05,3.2415867480383613,sims,3x3,et,
2015-10-05_8,D04,2015-10-05T00:00:00,2015-10-05,2.524967320261438,sims,3x3,et,
2015-10-05_9,D06,2015-10-05T00:00:00,2015-10-05,2.168788142981692,sims,3x3,et,
2015-10-05_11,D10,2015-10-05T00:00:00,2015-10-05,2.0830279232111693,sims,3x3,et,
2015-10-05_10,D09,2015-10-05T00:00:00,2015-10-05,1.1010907504363001,sims,3x3,et,
2015-10-05_12,D13,2015-10-05T00:00:00,2015-10-05,2.8693513278188933,sims,3x3,et,
2015-10-05_13,D01,2015-10-05T00:00:00,2015-10-05,0.8375163398692813,sims,3x3,et,
2015-10-05_14,D05,2015-10-05T00:00:00,2015-10-05,2.6286838653257547,sims,3x3,et,
2015-10-05_6,D07,2015-10-05T00:00:00,2015-10-05,2.1667829119442024,sims,3x3,et,
2015-10-05_7,D08,2015-10-05T00:00:00,2015-10-05,1.3332728098048114,sims,3x3,et,
2015-10-05_2,D03,2015-10-05T00:00:00,2015-10-05,2.800348432055749,sims,3x3,et,
2015-10-05_3,D11,2015-10-05T00:00:00,2015-10-05,1.054925893635571,sims,3x3,et,
2015-10-05_1,D02,2015-10-05T00:00:00,2015-10-05,3.125371179039301,sims,3x3,et,
2015-10-06_4,D12,2015-10-06T00:00:00,2015-10-06,2.532409090909091,sims,3x3,et,
